epoch,loss,algorithm,date,trial,train_acc,validation_acc,test_acc
0.0,75.60380554199219,graph-conv,2020-05,0.0,0.9391569495201111,0.9385115504264832,0.9367353320121765
1.0,62.962486267089844,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
2.0,50.46071243286133,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
3.0,38.098426818847656,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
4.0,25.86882972717285,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
5.0,13.83747673034668,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.936502993106842
6.0,1.9902892112731934,graph-conv,2020-05,0.0,0.9384599328041077,0.9381243586540222,0.9357286691665649
7.0,140.3518524169922,graph-conv,2020-05,0.0,0.060843076556921005,0.061488423496484756,0.06326467543840408
8.0,84.53506469726562,graph-conv,2020-05,0.0,0.060843076556921005,0.061488423496484756,0.06326467543840408
9.0,0.5976001024246216,graph-conv,2020-05,0.0,0.938227653503418,0.9378920197486877,0.935341477394104
10.0,6.0935282707214355,graph-conv,2020-05,0.0,0.9387955069541931,0.9384341239929199,0.9362707138061523
11.0,10.706835746765137,graph-conv,2020-05,0.0,0.9390020370483398,0.9385115504264832,0.9364255666732788
12.0,14.550674438476562,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.936502993106842
13.0,17.718347549438477,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.936502993106842
14.0,20.287153244018555,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
15.0,22.32219886779785,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
16.0,23.87912368774414,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
17.0,25.00600814819336,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
18.0,25.744823455810547,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
19.0,26.132461547851562,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
20.0,26.201547622680664,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
21.0,25.981060028076172,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
22.0,25.49681282043457,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
23.0,24.77184295654297,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
24.0,23.82670021057129,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
25.0,22.72267723083496,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
26.0,21.43446922302246,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
27.0,19.976505279541016,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
28.0,18.36205291748047,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.9366579055786133
29.0,16.603107452392578,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.936502993106842
30.0,14.710488319396973,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.936502993106842
31.0,12.693920135498047,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.936502993106842
32.0,10.562139511108398,graph-conv,2020-05,0.0,0.9391310811042786,0.9385115504264832,0.936502993106842
